,Match_num,Team_name,Date,Opponent,Score,Location,Record,Home Record,Spread,Over/Under,Money Line
0,1,Atlanta Hawks,Oct-19,Houston,W 117-107,Home,1-0,0-0,-10.5,Un 235.0,1.183486239
1,2,Atlanta Hawks,Oct-21,Orlando,W 108-98,Home,2-0,1-0,-8.5,Un 225.5,1.266666667
2,3,Atlanta Hawks,Oct-23,Charlotte,L 109-126,Home,02-Jan,01-Jan,-10,Ov 227.5,1.222222222
3,4,Atlanta Hawks,Oct-26,Detroit,W 118-113,Away,03-Jan,01-Jan,-7.5,Ov 229.0,1.317460317
4,5,Atlanta Hawks,Oct-28,Detroit,W 136-112,Away,04-Jan,01-Jan,-6,Ov 229.5,1.448430493
5,6,Atlanta Hawks,Oct-29,Milwaukee,L 115-123,Away,04-Feb,01-Jan,5.5,Ov 228.5,2.87
6,7,Atlanta Hawks,Oct-31,Toronto,L 109-139,Away,04-Mar,01-Jan,2,Ov 222.5,2.14
7,8,Atlanta Hawks,11-Feb,New York,W 112-99,Away,05-Mar,01-Jan,2.5,Un 233.0,2.2
8,9,Atlanta Hawks,11-May,New Orleans,W 124-121,Home,06-Mar,01-Jan,-2,Ov 234.5,1.775193798
9,10,Atlanta Hawks,11-Jul,Milwaukee,W 117-98,Home,07-Mar,01-Jan,5.5,Un 220.0,2.75
10,11,Atlanta Hawks,11-Sep,Utah,L 119-125,Home,07-Apr,01-Jan,-4,Ov 231.0,1.578034682
11,12,Atlanta Hawks,11-Oct,Philadelphia,W 104-95,Home,08-Apr,01-Jan,-1,Un 222.0,1.833333333
12,13,Atlanta Hawks,11-Dec,Philadelphia,L 109-121,Away,08-May,01-Jan,3,Ov 222.5,2.26
13,14,Atlanta Hawks,Nov-14,Milwaukee,W 121-106,Away,09-May,01-Jan,3.5,Ov 225.0,2.43
14,15,Atlanta Hawks,Nov-16,Boston,L 101-126,Home,09-Jun,01-Jan,1,Un 234.5,1.943396226
15,16,Atlanta Hawks,Nov-19,Toronto,W 124-122,Home,10-Jun,01-Jan,-5.5,Ov 226.0,1.5
16,17,Atlanta Hawks,Nov-21,Cleveland,L 102-114,Away,10-Jul,01-Jan,3,Un 227.5,2.35
17,18,Atlanta Hawks,Nov-23,Sacramento,W 115-106,Home,11-Jul,01-Jan,-4.5,Un 241.5,1.555555556
18,19,Atlanta Hawks,Nov-25,Houston,L 122-128,Away,11-Aug,01-Jan,-7,Ov 232.0,1.37593985
19,20,Atlanta Hawks,Nov-27,Miami,L 98-106,Home,11-Sep,01-Feb,-4,Un 225.5,1.606060606
20,21,Atlanta Hawks,Nov-28,Philadelphia,L 101-104,Away,11-Oct,01-Feb,3,Un 220.0,2.3
21,22,Atlanta Hawks,Nov-30,Orlando,W 125-108,Away,12-Oct,02-Feb,-6.5,Ov 228.0,1.411522634
22,23,Atlanta Hawks,12-Feb,Denver,W 117-109,Home,13-Oct,02-Feb,5,Ov 224.5,2.58
23,24,Atlanta Hawks,12-May,Okla City,L 114-121,Home,13-Nov,02-Feb,-6,Un 237.0,1.416666667
24,25,Atlanta Hawks,12-Jul,New York,L 89-113,Away,13-Dec,02-Feb,2,Un 233.0,2.19
25,26,Atlanta Hawks,12-Sep,Brooklyn,L 116-120,Away,13-13,02-Feb,7.5,Ov 232.5,3.54
26,27,Atlanta Hawks,12-Nov,Chicago,W 123-122,Home,14-13,02-Feb,-3.5,Ov 235.5,1.64516129
27,28,Atlanta Hawks,12-Dec,Memphis,L 103-128,Away,14-14,02-Feb,9.5,Ov 220.5,4.3
28,29,Atlanta Hawks,Dec-14,Orlando,L 124-135,Away,14-15,02-Mar,-3,Ov 226.5,1.704225352
29,30,Atlanta Hawks,Dec-16,Charlotte,W 125-106,Away,15-15,03-Mar,2.5,Un 240.5,2.2
30,31,Atlanta Hawks,Dec-19,Orlando,W 126-125,Home,16-15,04-Mar,-8.5,Ov 229.5,1.285714286
31,32,Atlanta Hawks,Dec-21,Chicago,L 108-110,Home,16-16,04-Mar,-5,Un 235.5,1.526315789
32,33,Atlanta Hawks,Dec-23,Detroit,W 130-105,Home,17-16,04-Mar,-9.5,Ov 233.5,1.234192037
33,34,Atlanta Hawks,Dec-27,Indiana,L 114-129,Away,17-17,04-Mar,-2,Ov 238.5,1.819672131
34,35,Atlanta Hawks,Dec-28,Brooklyn,L 107-108,Home,17-18,04-Mar,7.5,Un 230.5,3.53
35,36,Atlanta Hawks,Dec-30,LA Lakers,L 121-130,Home,17-19,04-Mar,-6.5,Ov 243.0,1.444444444
36,37,Atlanta Hawks,01-Feb,Golden State,L 141-143,Away,17-20,04-Mar,1.5,Ov 236.0,2.02
37,38,Atlanta Hawks,01-Apr,Sacramento,W 120-117,Away,18-20,04-Mar,2,Un 245.0,2.07
38,39,Atlanta Hawks,01-Jun,LA Lakers,L 114-130,Away,18-21,04-Mar,-3,Ov 242.0,1.684931507
39,40,Atlanta Hawks,01-Aug,LA Clippers,W 112-108,Away,19-21,04-Mar,2.5,Un 233.0,2.11
40,41,Atlanta Hawks,01-Nov,Milwaukee,L 105-114,Home,19-22,04-Mar,4.5,Un 227.5,2.52
41,42,Atlanta Hawks,Jan-13,Indiana,W 113-111,Away,20-22,04-Mar,-3.5,Un 239.0,1.64516129
42,43,Atlanta Hawks,Jan-14,Toronto,W 114-103,Away,21-22,04-Mar,7.5,Un 231.5,3.5
43,44,Atlanta Hawks,Jan-16,Miami,W 121-113,Home,22-22,05-Mar,-1,Ov 223.0,1.869565217
44,45,Atlanta Hawks,Jan-18,Dallas,W 130-122,Away,23-22,05-Mar,2.5,Ov 231.5,2.25
45,46,Atlanta Hawks,Jan-20,New York,W 139-124,Home,24-22,05-Mar,-3.5,Ov 229.5,1.666666667
46,47,Atlanta Hawks,Jan-21,Charlotte,L 118-122,Home,24-23,05-Apr,-7.5,Ov 234.5,1.35971223
47,48,Atlanta Hawks,Jan-23,Chicago,L 100-111,Away,24-24,05-Apr,1.5,Un 240.0,1.980392157
48,49,Atlanta Hawks,Jan-25,Okla City,W 137-132,Away,25-24,05-Apr,-1.5,Ov 238.0,1.81300813
49,50,Atlanta Hawks,Jan-28,LA Clippers,L 113-120,Home,25-25,05-Apr,-1.5,Ov 231.5,1.862068966
50,51,Atlanta Hawks,Jan-30,Portland,L 125-129,Away,25-26,05-Apr,5.5,Ov 232.5,2.77
51,52,Atlanta Hawks,02-Jan,Phoenix,W 132-100,Away,26-26,05-Apr,1.5,Ov 231.5,2.02
52,53,Atlanta Hawks,02-Mar,Utah,W 115-108,Away,27-26,05-Apr,1.5,Un 242.0,2.04
53,54,Atlanta Hawks,02-Apr,Denver,L 108-128,Away,27-27,05-Apr,10,Ov 229.0,4.6
54,55,Atlanta Hawks,02-Jul,New Orleans,L 107-116,Away,27-28,05-Apr,1,Un 237.0,1.99009901
55,56,Atlanta Hawks,02-Sep,Phoenix,W 116-107,Home,28-28,05-Apr,-7.5,Un 226.5,1.333333333
56,57,Atlanta Hawks,02-Nov,San Antonio,W 125-106,Home,29-28,05-Apr,-13,Un 241.0,1.132978723
57,58,Atlanta Hawks,Feb-13,Charlotte,L 138-144,Away,29-29,05-May,-5.5,Ov 241.5,1.520833333
58,59,Atlanta Hawks,Feb-15,New York,L 101-122,Home,29-30,05-May,-4,Un 234.0,1.613496933
59,60,Atlanta Hawks,Feb-24,Cleveland,W 136-119,Home,30-30,05-May,-1,Ov 228.0,1.980392157
60,61,Atlanta Hawks,Feb-26,Brooklyn,W 129-127,Home,31-30,05-May,-6.5,Ov 233.5,1.392156863
61,62,Atlanta Hawks,Feb-28,Washington,L 116-119,Home,31-31,05-Jun,-7.5,Ov 234.0,1.36101083
62,63,Atlanta Hawks,03-Mar,Portland,W 129-111,Home,32-31,05-Jun,-8,Un 241.5,1.318471338
63,64,Atlanta Hawks,03-Apr,Miami,L 109-117,Away,32-32,05-Jul,3,Un 227.0,2.25
64,65,Atlanta Hawks,03-Jun,Miami,L 128-130,Away,32-33,05-Aug,2.5,Ov 230.5,2.2
65,66,Atlanta Hawks,03-Aug,Washington,W 122-120,Away,33-33,06-Aug,-3,Ov 237.5,1.689655172
66,67,Atlanta Hawks,03-Oct,Washington,W 114-107,Away,34-33,07-Aug,-1,Un 237.0,1.869565217
67,68,Atlanta Hawks,03-Nov,Boston,L 125-134,Home,34-34,07-Aug,5,Ov 238.5,2.62
68,69,Atlanta Hawks,Mar-13,Minnesota,L 115-136,Home,34-35,07-Aug,-4.5,Ov 241.0,1.555555556
69,70,Atlanta Hawks,Mar-17,Golden State,W 127-119,Home,35-35,07-Aug,-3.5,Un 247.5,1.666666667
70,71,Atlanta Hawks,Mar-19,San Antonio,L 118-126,Away,35-36,07-Aug,-10,Un 246.0,1.229357798
71,72,Atlanta Hawks,Mar-21,Detroit,W 129-107,Home,36-36,07-Aug,-13.5,Un 237.0,1.125
72,73,Atlanta Hawks,Mar-22,Minnesota,L 124-125,Away,36-37,07-Aug,3.5,Ov 242.0,2.42
73,74,Atlanta Hawks,Mar-25,Indiana,W 143-130,Home,37-37,07-Aug,-10,Ov 249.0,1.229885057
74,75,Atlanta Hawks,Mar-26,Memphis,L 119-123,Home,37-38,07-Aug,2,Un 247.5,2.07
75,76,Atlanta Hawks,Mar-28,Cleveland,W 120-118,Home,38-38,07-Aug,-3,Un 239.0,1.699300699
