Id,Name and Surname,Beginning year,Played until,Birthday,html
0,Alaa Abdelnaby,1991,1995,"June 24, 1968",/players/a/abdelal01.html
1,Zaid Abdul-Aziz,1969,1978,"April 7, 1946",/players/a/abdulza01.html
2,Kareem Abdul-Jabbar*,1970,1989,"April 16, 1947",/players/a/abdulka01.html
3,Mahmoud Abdul-Rauf,1991,2001,"March 9, 1969",/players/a/abdulma02.html
4,Tariq Abdul-Wahad,1998,2003,"November 3, 1974",/players/a/abdulta01.html
5,Shareef Abdur-Rahim,1997,2008,"December 11, 1976",/players/a/abdursh01.html
6,Tom Abernethy,1977,1981,"May 6, 1954",/players/a/abernto01.html
7,Forest Able,1957,1957,"July 27, 1932",/players/a/ablefo01.html
8,John Abramovic,1947,1948,"February 9, 1919",/players/a/abramjo01.html
9,Álex Abrines,2017,2019,"August 1, 1993",/players/a/abrinal01.html
10,Precious Achiuwa,2021,2023,"September 19, 1999",/players/a/achiupr01.html
11,Alex Acker,2006,2009,"January 21, 1983",/players/a/ackeral01.html
12,Don Ackerman,1954,1954,"September 4, 1930",/players/a/ackerdo01.html
13,Mark Acres,1988,1993,"November 15, 1962",/players/a/acresma01.html
14,Bud Acton,1968,1968,"January 11, 1942",/players/a/actonbu01.html
15,Quincy Acy,2013,2019,"October 6, 1990",/players/a/acyqu01.html
16,Alvan Adams,1976,1988,"July 19, 1954",/players/a/adamsal01.html
17,Don Adams,1971,1977,"November 27, 1947",/players/a/adamsdo01.html
18,George Adams,1973,1975,"May 15, 1949",/players/a/adamsge01.html
19,Hassan Adams,2007,2009,"June 20, 1984",/players/a/adamsha01.html
20,Jaylen Adams,2019,2021,"May 4, 1996",/players/a/adamsja01.html
21,Jordan Adams,2015,2016,"July 8, 1994",/players/a/adamsjo01.html
22,Michael Adams,1986,1996,"January 19, 1963",/players/a/adamsmi01.html
23,Steven Adams,2014,2023,"July 20, 1993",/players/a/adamsst01.html
24,Rafael Addison,1987,1997,"July 22, 1964",/players/a/addisra01.html
25,Bam Adebayo,2018,2023,"July 18, 1997",/players/a/adebaba01.html
26,Deng Adel,2019,2019,"February 1, 1997",/players/a/adelde01.html
27,Rick Adelman*,1969,1975,"June 16, 1946",/players/a/adelmri01.html
